section,section_id,submitted,attempt,1355124: Please rate the instructor's effectiveness in the following areas (1 being poor and 5 being excellent):,0,1355125: Organizing the course:,0.0,"1355131: Explaining course requirements, grading criteria, and expectations:",0.0,1355132: Communicating ideas and/or information:,0.0,1355133: Showing respect and concern for students:,0.0,1355143: Stimulating interest in the course:,0.0,1355144: Creating an environment that helps students learn:,0.0,1355145: Giving useful feedback on course objectives:,0.0,1355146: Helping students achieve course objectives:,0.0,1355147: Use of Canvas to support my learning in this course was:,0.0,1355148: Use of Canvas to communicate important course information was:,0.0,"1355149: Overall, the effectiveness of the instructor in the course was:",0.0,1355150: Questionnaire,0,1355151: What suggestions do you have for improving how the instructor taught the course?,0.0,1355152: What did you like best about how the instructor taught the course?,0.0,1355153: What did you like best about the course?,0.0,1355154: What suggestions do you have for improving the course?,0.0,n correct,n incorrect,score
T122SCS 331,28200,2021-10-25 19:09:08 UTC,1,"",0,4,0.0,4,0.0,3,0.0,5,0.0,4,0.0,3,0.0,3,0.0,3,0.0,5,0.0,5,0.0,3,0.0,"",0,The instructor could go more into detail on the details (like figuring out how to compress code down onto a single line using the special python approaches),0.0,"I like how what is discussed in class is also followable on canvas itself, and so it is easy to find examples that were gone over in class that I was not able to write down.",0.0,I like that it is over python. Python is a super cool language. ,0.0,"I think the course could use a little more focus. Sometimes it feels like we talk about a subject and then leave the subject, but then we come back to it and it is a little confusing. By this, I don't mean that we come back to a subject after we learn more that will help us do more, because doing this makes sense. Instead I feel like we go back and forth sometimes without a ton of reason. (one example being not doing all file work stuff in a single given time, because we started working on argparse but then we came back to files and it seemed really odd).",0.0,6,11,15.0
T122SCS 331,28200,2021-10-25 18:35:46 UTC,1,"",0,3,0.0,4,0.0,4,0.0,5,0.0,3,0.0,3,0.0,3,0.0,5,0.0,5,0.0,5,0.0,3,0.0,"",0,"Explain in more detail what certain parts of python accomplish and how they work. A large majority of the class is showing code that we have not learned yet. A lot of our learning is reading the book or course information on our own, which is fine, but going over these concepts after we have read them would be very beneficial.",0.0,Mr. Chappell was very helpful to students when a question was asked. He would provide the question and answers for all students on canvas. And he was very understanding when there was a problem or delay when turning in assignments.,0.0,"Python code is much simpler than other languages in that there is a lot of built in types, functions, and loops.",0.0,"Explain concepts without code first, then apply the code to the concepts that were taught.",0.0,6,11,15.0
T122SCS 331,28200,2021-10-23 04:33:12 UTC,1,"",0,4,0.0,4,0.0,3,0.0,3,0.0,2,0.0,3,0.0,3,0.0,3,0.0,4,0.0,4,0.0,3,0.0,"",0,More enthusiastic delivery of the course material would help when trying to follow along in class.,0.0,An abundance of material available on Canvas.,0.0,"The assignments, although too easy for the most part in my opinion, were fun to do.",0.0,Assignments with more challenges to them would be nice.,0.0,6,11,15.0
T122SCS 331,28200,2021-10-23 01:40:09 UTC,1,"",0,5,0.0,5,0.0,4,0.0,5,0.0,4,0.0,4,0.0,5,0.0,5,0.0,4,0.0,4,0.0,4,0.0,"",0,"Hope the teacher teaches the lectures slowly, and explains the lecture's content more clearly For example, give a few examples so that students can understand how that function or program operates and understand the program's logic.",0.0,"I hope the teacher do not give us very hard functions, or program assignment. If give us a very hard program assignment, please give us some clues or idea to direct us. because python has many functions and syntax that we do not very familiar with.",0.0,"The best that I like about this course is that every time when I go to the teacher's office to ask the teacher some questions, the teacher is very patient to teach me, and helps me to solve the questions properly.",0.0,"I hope that teacher teaches the python's content more clearly and specifically. especially for some hard parts of python. Let students can really understand python, program logic, and type the code more efficiently than before.",0.0,6,11,15.0
T122SCS 331,28200,2021-10-23 00:11:30 UTC,1,"",0,3,0.0,4,0.0,3,0.0,4,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,4,0.0,3,0.0,"",0,"Slow down, Rather advanced topics are being thrown at us at a very fast rate and this is only a elective class.",0.0,I like how if you are stuck on something he doesn't just leave you hanging.,0.0,learning the basics of the language,0.0,"Don't try to get into as many advanced topics as possible, this is the first time that many have ever seen or heard of this language.",0.0,6,11,15.0
T122SCS 331,28200,2021-10-22 22:47:13 UTC,1,"",0,4,0.0,5,0.0,4,0.0,4,0.0,5,0.0,3,0.0,4,0.0,5,0.0,5,0.0,5,0.0,4,0.0,"",0,This probably doesn’t apply to everyone but I do have a somewhat difficult time following along with the programming done in class. I try writing down as much of the programs as I can to reference back to but I never manage to get it all. It would be nice to get a copy/ text file of the programs written in class to reference back to. I know in some cases there are similar programs on canvas but this has not always been the case and it would be easier for me to look at what was specifically covered in class.,0.0,How well the canvas is organized. I have never had a teacher put as much effort into making a good canvas experience for their students and I really enjoy that.,0.0,I am undecided.,0.0,Some kind of access to lecture notes that the teacher types up in class would be very beneficial to at least me personally.,0.0,6,11,15.0
T122SCS 331,28200,2021-10-22 22:20:12 UTC,1,"",0,3,0.0,4,0.0,2,0.0,5,0.0,3,0.0,1,0.0,3,0.0,4,0.0,4,0.0,3,0.0,2,0.0,"",0,Speak slower. Try to keep student engage. Don't rush through the material.,0.0,Help student when we ask for help,0.0,The language,0.0,"Teach slower

Communicate efficiently

 ",0.0,7,10,15.0
T122SCS 331,28200,2021-10-22 21:27:34 UTC,1,"",0,4,0.0,4,0.0,3,0.0,5,0.0,5,0.0,3,0.0,4,0.0,3,0.0,5,0.0,5,0.0,4,0.0,"",0,Have greater clarity on the different method types and how they operate,0.0,I liked how chill and passionate the instructor was with the course,0.0,"Learning a new, popular language",0.0,"Include more clarity on the functionality of different aspects of the python language

Change the due dates for projects so we can have the weekend to work on the projects instead of only Monday - Friday",0.0,6,11,15.0
T122SCS 331,28200,2021-10-22 20:44:47 UTC,1,"",0,3,0.0,4,0.0,2,0.0,4,0.0,2,0.0,2,0.0,4,0.0,4,0.0,5,0.0,5,0.0,3,0.0,"",0,"Im not sure. Something about how he explains it makes it so that it doesn't stick with me.

dont put stuff on tests and quizes that havn't been on a submitted program. (IE: input/exceptions) Doing something first time on a test or quiz is incredibly stressful.",0.0,nothing really stands out,0.0,Python. I really enjoy the language.,0.0,"more class time to work on the programs. college is busy and other classes have a ton of homework too.

 ",0.0,6,11,15.0
T122SCS 331,28200,2021-10-22 18:13:01 UTC,1,"",0,4,0.0,5,0.0,4,0.0,5,0.0,5,0.0,4,0.0,5,0.0,5,0.0,5,0.0,5,0.0,4,0.0,"",0,He seems a little bit nervous while teaching the class. Maybe be a little bit more confident,0.0,He will work through programs similar to our homework assignments so we can learn alternative and more efficient means to work our programs,0.0,"I definitely feel a little bit more stretched in this course, which I feel is helping me understand python on a deeper level.",0.0,"I think having a quiz more often would be nice, so you don't have only 3 quiz grades by the end of the semester",0.0,6,11,15.0
